UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
654024,201018,4950.0,Yes
654167,201124,1700.0,Yes
654271,201454,6799.0,Yes
654286,201018,2725.0,Yes
654290,201124,4289.0,Yes
654299,201124,500.0,Yes
654457,201124,500.0,No
654718,201018,7133.0,No
655022,201238,3662.0,No
655029,201344,998.0,Yes
655105,201344,2298.0,Yes
655164,201124,5222.0,Yes
655238,201018,5522.0,Yes
655338,201124,500.0,Yes
655424,201124,6469.0,Yes
655866,201018,4207.0,Yes
655964,201234,9228.0,No
656067,201018,4796.0,Yes
656230,201018,500.0,Yes
656337,201234,3275.0,Yes
656338,201124,6145.0,Yes
656342,201018,6733.0,Yes
656451,201124,3275.0,No
656517,201018,6033.0,Yes
656779,201018,50.32,No
656813,201018,3248.0,Yes
656814,201018,6408.0,Yes
656903,201018,7108.0,Yes
656909,201124,6907.0,Yes
657017,201128,1600.0,No
657082,201018,4146.0,Yes
657495,201124,500.0,Yes
657525,201018,5193.0,Yes
657610,201018,7509.0,No
657628,201234,1700.0,Yes
657746,201018,5300.0,Yes
657863,201018,6213.0,Yes
657883,201018,5104.0,Yes
658084,201238,7258.0,No
658197,201018,6213.0,Yes
658203,201124,3542.0,Yes
658326,201128,2813.0,No
658429,201018,6208.0,No
658561,201128,500.0,Yes
658646,201018,4950.0,Yes
658754,201018,3866.0,Yes
658757,201018,4746.0,Yes
